ID,City,Price,Bedrooms,Bathrooms,Size,Type,Latitude,Longitude,Amenities
1,Mumbai,15500000,3,2,1200,Apartment,19.076,72.8777,"Gym,Pool,Parking"
2,Mumbai,22000000,4,4,2000,Villa,19.127,72.8755,"Pool,Gym,Garden,Security,Parking,Clubhouse"
3,Mumbai,18500000,3,3,1500,Apartment,19.054,72.8945,"Gym,Security,Parking,Pool"
4,Mumbai,12500000,2,2,950,Apartment,19.016,72.8564,"Parking,Security,Garden"
5,Mumbai,28000000,4,4,2500,Villa,19.089,72.8867,"Gym,Pool,Garden,Security,Parking,Clubhouse"
4,Chennai,5500000,2,1,800,Apartment,13.0827,80.2707,"Pool,Security"
5,Kolkata,4200000,3,2,1100,House,22.5726,88.3639,"Garden,Parking"
6,Hyderabad,6800000,4,3,1600,Villa,17.385,78.4867,"Gym,Pool,Garden,Security"
7,Pune,5800000,2,2,950,Apartment,18.5204,73.8567,"Gym,Parking"
8,Ahmedabad,4800000,3,2,1200,House,23.0225,72.5714,"Garden,Security"
9,Mumbai,12000000,4,4,2000,Villa,19.076,72.8777,"Pool,Gym,Garden,Security,Parking"
10,Delhi,15174000,4,4,2500,Independent Floor,28.69610024,77.12569428,"Gym,Clubhouse"
11,Delhi,6898000,2,2,1162,Apartment,28.70855713,77.32802583,"Food Court,Party Lawns,Chemist Shop,Ambulance"
12,Delhi,7511000,3,2,900,Independent Floor,28.6072693,77.08944702,"Gym,Garden,Sports Facility,Swimming Pool,Clubhouse"
13,Delhi,3084000,2,2,750,Independent Floor,28.53482056,77.25739289,"Car Parking,AC,Geyser"
14,Delhi,11071000,2,1,1100,Apartment,28.65725328,77.09198762,"Gym,TV,Security,Sofa,Parking"
15,Delhi,7246000,2,2,1150,Independent Floor,28.68910408,77.20041656,"Fridge,AC,Modular Kitchen,Bed,Geyser"
16,Delhi,13212000,3,3,2000,Apartment,28.5400982,77.14507294,"Sofa,Modular Kitchen,Refrigerator,Parking"
17,Delhi,12715000,1,1,1350,Independent Floor,28.56477928,77.19426728,"Party Lawns,Parking,Food Court,Microwave"
18,Delhi,8167000,2,2,1000,Apartment,28.52409363,77.14785005,"TV,Refrigerator,Sofa,AC,Bed"
19,Delhi,7668000,3,2,1100,Independent Floor,28.62412454,77.08145906,"Lift,Food Court,Fridge"
20,Delhi,17152000,4,4,2200,Independent Floor,28.54715157,77.2080536,"Power Backup,AC,Bed"
21,Delhi,9803000,3,3,1800,Independent Floor,28.65497209,77.13210297,"Pool,Bed,Clubhouse,Fridge,Power Backup"
22,Delhi,7253000,2,2,900,Independent Floor,28.64152909,77.12091064,"AC,Lift,Chemist Shop,Parking"
23,Delhi,17507000,3,2,1350,Independent Floor,28.70121957,77.15703584,"Four Wheeler Parking,Washing Machine,Intercom,Food Court,Sports Facility"
24,Delhi,24476000,3,3,1850,Independent Floor,28.64152908,77.12091064,"TV,Refrigerator,Sofa,Washing Machine,Microwave"
25,Delhi,7726000,1,1,1500,Independent Floor,28.55844879,77.20293427,"Four Wheeler Parking,Pool,Washing Machine"
26,Delhi,11122000,3,2,1300,Independent Floor,28.52632714,77.15073395,"Clubhouse,Bike Parking,Security,Food Court,Gas Connection"
27,Delhi,16374000,3,3,1440,Independent Floor,28.70457268,77.20771027,"Clubhouse,Pool,TV,Car Parking,Bed"
28,Delhi,3410000,1,1,600,Independent Floor,28.63766099,77.11206819,"Parking,Lift,Modular Kitchen,Food Court"
29,Delhi,6484000,1,1,750,Independent Floor,28.45732118,77.1090622,"Gym,Garden,Sports Facility,Swimming Pool,Clubhouse"
30,Delhi,1747000,1,1,300,Studio Apartment,28.65369034,77.16915895,"Modular Kitchen,Gas Connection,TV,Chemist Shop"
31,Delhi,7434000,3,2,1600,Apartment,28.54262162,77.29563904,"Car Parking,Parking,Modular Kitchen"
32,Delhi,15592000,2,1,2400,Independent Floor,28.6262169,77.03955078,"Washing Machine,Party Lawns"
33,Delhi,14779000,3,3,2000,Independent Floor,28.64315033,77.32295228,"Security,Clubhouse,Swimming Pool,TV,Sports Facility"
34,Delhi,15933000,3,3,2025,Independent Floor,28.65982057,77.30496979,"Fridge,Swimming Pool,Ambulance,Electric Gate Lock"
35,Delhi,11974000,3,2,1500,Apartment,28.6039219,77.05311585,"Gym,Garden,Sports Facility,Clubhouse"
36,Delhi,22790000,3,3,2200,Apartment,28.59152604,77.06760406,"Washing Machine,Fridge,Chemist Shop"
37,Delhi,2750000,1,1,600,Apartment,28.52589036,77.15148926,"TV,Refrigerator,Sofa,Washing Machine,AC"
38,Delhi,3320000,1,1,700,Apartment,21.21085935,72.77133179,"TV,Refrigerator,Sofa,AC,Bed"
39,Delhi,3895000,2,2,900,Independent Floor,28.53616525,77.19776155,"Sports Facility,Ambulance,Gym"
40,Delhi,11744000,3,3,1350,Independent Floor,28.67094232,77.10485077,"Electric Gate Lock,Microwave,Modular Kitchen,Swimming Pool"
41,Delhi,6325000,3,2,1050,Independent Floor,28.62147713,77.05033113,"TV,Refrigerator,Sofa,Washing Machine,AC"
42,Delhi,2582000,1,1,450,Apartment,28.49751854,77.17887116,"CCTV,Lift"
43,Delhi,101244000,8,8,7200,Independent Floor,28.48815347,77.1569748,"Geyser,Microwave,Gas Connection,Community Hall,AC"
44,Delhi,2703000,1,1,680,Independent Floor,28.65369034,77.16915895,"Electric Gate Lock,Gas Connection"
45,Delhi,7026000,2,1,650,Independent Floor,28.61945724,77.0567093,"CCTV,Power Backup,Sports Facility,Four Wheeler Parking"
46,Delhi,7491000,1,1,600,Independent Floor,28.64922143,77.13320924,"Sofa,Pool,Parking"
47,Delhi,5862000,2,1,1100,Apartment,28.61963082,77.30245973,"Community Hall,Security,Intercom"
48,Delhi,14147000,2,2,1125,Independent Floor,28.62810517,77.14019012,"Washing Machine,Chemist Shop,Dining Table,Ambulance,Power Backup"
49,Delhi,8813000,3,3,1800,Independent Floor,28.53398132,77.24250032,"Gym,Lift,Modular Kitchen"
50,Delhi,18881000,4,4,3000,Independent Floor,28.56878099,77.23298645,"Bed,Intercom,Garden"
51,Delhi,28156000,3,3,1960,Apartment,28.58725357,77.03544617,"TV,Intercom,Refrigerator"
52,Delhi,4019000,2,2,720,Apartment,28.49046516,77.17954254,"Swimming Pool,Geyser,Gas Connection,Modular Kitchen,AC"
53,Delhi,9761000,2,2,1050,Independent Floor,28.52456094,77.14914703,"Geyser,Car Parking,Power Backup,Bike Parking,Dining Table"
54,Delhi,8356000,2,2,650,Independent Floor,28.61807824,77.04087068,"Bike Parking,Geyser,Security"
55,Delhi,25734000,3,3,2250,Independent Floor,28.66526986,77.0896226,"Power Backup,Bike Parking,Clubhouse,Swimming Pool"
56,Delhi,10955000,3,2,2000,Apartment,28.56251145,77.05653381,"Refrigerator,Sofa"
57,Delhi,22776000,3,4,2700,Independent Floor,28.56470108,77.19415284,"Chemist Shop,Sofa,Microwave"
58,Delhi,5052000,2,2,1100,Apartment,28.57617189,77.04163362,"Fridge,Clubhouse"
59,Delhi,2584000,1,1,400,Studio Apartment,28.56038666,77.21283723,"TV,Refrigerator,Microwave,AC,Bed"
60,Delhi,9378000,3,3,1800,Apartment,28.55782319,77.05976868,"Fridge,Garden,Microwave,Chemist Shop,Pool"
61,Delhi,5307000,2,2,950,Apartment,28.53419877,77.21559143,"Community Hall,Gym,Food Court,Sports Facility,Chemist Shop"
62,Delhi,3062000,2,2,500,Independent Floor,28.53511239,77.26423646,"Four Wheeler Parking,Dining Table,Bike Parking,Modular Kitchen,Pool"
63,Delhi,20862000,3,3,1700,Apartment,28.60261345,77.03928376,"Clubhouse,Ambulance,AC,Intercom,Refrigerator"
64,Delhi,44464000,4,3,2300,Independent Floor,28.66526985,77.08962256,"Ambulance,Pool"
65,Delhi,42829000,4,5,5000,Independent Floor,28.57727624,77.16886139,"Modular Kitchen,Refrigerator"
66,Delhi,14343000,3,3,1800,Independent Floor,28.69649315,77.13860322,"Bed,Garden,Car Parking,Chemist Shop,Swimming Pool"
67,Delhi,15690000,3,3,2000,Independent Floor,28.57302666,77.23272706,"TV,Refrigerator,Sofa,Washing Machine,AC"
68,Delhi,23627000,3,2,1800,Apartment,28.55642892,77.06002045,"Intercom,Swimming Pool,Clubhouse"
